Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.1D2_0.qasm,45,23,22(48.89%),,45,15,30(66.67%),,0(),0(),0(-),,45(cx),23(cx),22(48.89%),,0.12499570846557617,27.3203125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.1D2_1.qasm,45,26,19(42.22%),,45,22,23(51.11%),,0(),0(),0(-),,45(cx),26(cx),19(42.22%),,0.23441767692565918,27.41796875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.1D2_2.qasm,45,22,23(51.11%),,45,15,30(66.67%),,0(),0(),0(-),,45(cx),22(cx),23(51.11%),,0.3124961853027344,27.5234375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.1D2_3.qasm,45,22,23(51.11%),,44,18,26(59.09%),,0(),0(),0(-),,45(cx),22(cx),23(51.11%),,0.09372639656066895,27.5234375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.1D2_4.qasm,45,28,17(37.78%),,45,20,25(55.56%),,0(),0(),0(-),,45(cx),28(cx),17(37.78%),,0.1877765655517578,27.953125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.1D2_5.qasm,45,15,30(66.67%),,45,7,38(84.44%),,0(),0(),0(-),,45(cx),15(cx),30(66.67%),,0.12471961975097656,27.45703125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.1D2_6.qasm,45,19,26(57.78%),,45,13,32(71.11%),,0(),0(),0(-),,45(cx),19(cx),26(57.78%),,0.10936880111694336,27.45703125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.1D2_7.qasm,45,21,24(53.33%),,45,10,35(77.78%),,0(),0(),0(-),,45(cx),21(cx),24(53.33%),,0.15625214576721191,27.51953125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.1D2_8.qasm,45,24,21(46.67%),,45,17,28(62.22%),,0(),0(),0(-),,45(cx),24(cx),21(46.67%),,0.12499141693115234,28.01953125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.1D2_9.qasm,45,13,32(71.11%),,45,8,37(82.22%),,0(),0(),0(-),,45(cx),13(cx),32(71.11%),,0.06250119209289551,27.51953125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_0.qasm,90,54,36(40.00%),,45,20,25(55.56%),,0(),0(),0(-),,90(cx),54(cx),36(40.00%),,2.2191059589385986,28.15234375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_1.qasm,90,50,40(44.44%),,45,14,31(68.89%),,0(),0(),0(-),,90(cx),50(cx),40(44.44%),,2.5162417888641357,28.1640625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_2.qasm,90,59,31(34.44%),,45,21,24(53.33%),,0(),0(),0(-),,90(cx),59(cx),31(34.44%),,3.0940871238708496,28.796875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_3.qasm,90,53,37(41.11%),,45,15,30(66.67%),,0(),0(),0(-),,90(cx),53(cx),37(41.11%),,3.2333991527557373,28.7421875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_4.qasm,90,55,35(38.89%),,45,18,27(60.00%),,0(),0(),0(-),,90(cx),55(cx),35(38.89%),,2.9064767360687256,28.69921875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_5.qasm,90,58,32(35.56%),,45,20,25(55.56%),,0(),0(),0(-),,90(cx),58(cx),32(35.56%),,2.2810096740722656,28.5390625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_6.qasm,90,53,37(41.11%),,45,16,29(64.44%),,0(),0(),0(-),,90(cx),53(cx),37(41.11%),,2.781149387359619,28.6484375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_7.qasm,90,54,36(40.00%),,45,23,22(48.89%),,0(),0(),0(-),,90(cx),54(cx),36(40.00%),,2.1404385566711426,28.7734375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_8.qasm,90,62,28(31.11%),,45,24,21(46.67%),,0(),0(),0(-),,90(cx),62(cx),28(31.11%),,2.6094582080841064,28.109375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_9.qasm,90,40,50(55.56%),,45,15,30(66.67%),,0(),0(),0(-),,90(cx),40(cx),50(55.56%),,2.265489339828491,28.234375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_0.qasm,135,84,51(37.78%),,45,29,16(35.56%),,0(),0(),0(-),,135(cx),84(cx),51(37.78%),,6.031445026397705,28.80078125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_1.qasm,135,87,48(35.56%),,45,22,23(51.11%),,0(),0(),0(-),,135(cx),87(cx),48(35.56%),,4.859193325042725,28.1640625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_2.qasm,135,81,54(40.00%),,45,25,20(44.44%),,0(),0(),0(-),,135(cx),81(cx),54(40.00%),,5.890661716461182,28.7109375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_3.qasm,135,87,48(35.56%),,45,22,23(51.11%),,0(),0(),0(-),,135(cx),87(cx),48(35.56%),,6.0940423011779785,28.7421875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_4.qasm,135,88,47(34.81%),,45,24,21(46.67%),,0(),0(),0(-),,135(cx),88(cx),47(34.81%),,4.796562910079956,28.18359375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_5.qasm,135,79,56(41.48%),,45,21,24(53.33%),,0(),0(),0(-),,135(cx),79(cx),56(41.48%),,6.812542915344238,28.21484375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_6.qasm,135,83,52(38.52%),,45,25,20(44.44%),,0(),0(),0(-),,135(cx),83(cx),52(38.52%),,5.73435115814209,28.7109375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_7.qasm,135,82,53(39.26%),,45,27,18(40.00%),,0(),0(),0(-),,135(cx),82(cx),53(39.26%),,5.843790292739868,28.1484375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_8.qasm,135,79,56(41.48%),,45,24,21(46.67%),,0(),0(),0(-),,135(cx),79(cx),56(41.48%),,6.7811925411224365,28.1953125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_9.qasm,135,41,94(69.63%),,45,12,33(73.33%),,0(),0(),0(-),,135(cx),41(cx),94(69.63%),,4.140606641769409,28.984375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_0.qasm,180,109,71(39.44%),,45,25,20(44.44%),,0(),0(),0(-),,180(cx),109(cx),71(39.44%),,8.796838998794556,29.1875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_1.qasm,180,104,76(42.22%),,45,30,15(33.33%),,0(),0(),0(-),,180(cx),104(cx),76(42.22%),,8.515724420547485,28.44140625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_2.qasm,180,90,90(50.00%),,45,25,20(44.44%),,0(),0(),0(-),,180(cx),90(cx),90(50.00%),,9.140611410140991,29.5
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_3.qasm,180,92,88(48.89%),,45,28,17(37.78%),,0(),0(),0(-),,180(cx),92(cx),88(48.89%),,9.499985694885254,28.9453125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_4.qasm,180,110,70(38.89%),,45,34,11(24.44%),,0(),0(),0(-),,180(cx),110(cx),70(38.89%),,8.87496280670166,30.25
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_5.qasm,180,108,72(40.00%),,45,25,20(44.44%),,0(),0(),0(-),,180(cx),108(cx),72(40.00%),,6.859496831893921,29.0078125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_6.qasm,180,99,81(45.00%),,45,29,16(35.56%),,0(),0(),0(-),,180(cx),99(cx),81(45.00%),,10.062373399734497,29.49609375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_7.qasm,180,118,62(34.44%),,45,33,12(26.67%),,0(),0(),0(-),,180(cx),118(cx),62(34.44%),,9.265632152557373,28.50390625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_8.qasm,180,129,51(28.33%),,45,34,11(24.44%),,0(),0(),0(-),,180(cx),129(cx),51(28.33%),,7.640651226043701,30.42578125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_9.qasm,180,106,74(41.11%),,45,30,15(33.33%),,0(),0(),0(-),,180(cx),106(cx),74(41.11%),,8.531304597854614,29.3671875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_0.qasm,225,124,101(44.89%),,45,31,14(31.11%),,0(),0(),0(-),,225(cx),124(cx),101(44.89%),,13.156181335449219,29.0390625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_1.qasm,225,122,103(45.78%),,45,36,9(20.00%),,0(),0(),0(-),,225(cx),122(cx),103(45.78%),,8.718723058700562,30.265625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_2.qasm,225,122,103(45.78%),,45,32,13(28.89%),,0(),0(),0(-),,225(cx),122(cx),103(45.78%),,13.10940146446228,29.0390625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_3.qasm,225,145,80(35.56%),,45,36,9(20.00%),,0(),0(),0(-),,225(cx),145(cx),80(35.56%),,12.296904563903809,30.546875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_4.qasm,225,144,81(36.00%),,45,38,7(15.56%),,0(),0(),0(-),,225(cx),144(cx),81(36.00%),,12.062507629394531,28.75390625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_5.qasm,225,129,96(42.67%),,45,29,16(35.56%),,0(),0(),0(-),,225(cx),129(cx),96(42.67%),,11.015601396560669,28.8359375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_6.qasm,225,142,83(36.89%),,45,37,8(17.78%),,0(),0(),0(-),,225(cx),142(cx),83(36.89%),,11.984378099441528,30.57421875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_7.qasm,225,155,70(31.11%),,45,34,11(24.44%),,0(),0(),0(-),,225(cx),155(cx),70(31.11%),,9.906269073486328,30.57421875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_8.qasm,225,158,67(29.78%),,45,38,7(15.56%),,0(),0(),0(-),,225(cx),158(cx),67(29.78%),,13.015662670135498,30.5703125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_9.qasm,225,131,94(41.78%),,45,32,13(28.89%),,0(),0(),0(-),,225(cx),131(cx),94(41.78%),,13.82814073562622,30.15234375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_0.qasm,270,148,122(45.19%),,45,36,9(20.00%),,0(),0(),0(-),,270(cx),148(cx),122(45.19%),,16.671810388565063,29.0859375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_1.qasm,270,183,87(32.22%),,45,39,6(13.33%),,0(),0(),0(-),,270(cx),183(cx),87(32.22%),,19.156221866607666,29.2890625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_2.qasm,270,161,109(40.37%),,45,38,7(15.56%),,0(),0(),0(-),,270(cx),161(cx),109(40.37%),,14.561662912368774,30.546875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_3.qasm,270,178,92(34.07%),,45,37,8(17.78%),,0(),0(),0(-),,270(cx),178(cx),92(34.07%),,18.968714952468872,30.40625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_4.qasm,270,171,99(36.67%),,45,40,5(11.11%),,0(),0(),0(-),,270(cx),171(cx),99(36.67%),,14.953206300735474,30.30859375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_5.qasm,270,161,109(40.37%),,45,35,10(22.22%),,0(),0(),0(-),,270(cx),161(cx),109(40.37%),,14.453106164932251,30.578125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_6.qasm,270,142,128(47.41%),,45,36,9(20.00%),,0(),0(),0(-),,270(cx),142(cx),128(47.41%),,15.719091176986694,30.53515625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_7.qasm,270,165,105(38.89%),,45,40,5(11.11%),,0(),0(),0(-),,270(cx),165(cx),105(38.89%),,14.67153024673462,30.29296875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_8.qasm,270,153,117(43.33%),,45,36,9(20.00%),,0(),0(),0(-),,270(cx),153(cx),117(43.33%),,16.468755960464478,28.83203125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_9.qasm,270,180,90(33.33%),,45,40,5(11.11%),,0(),0(),0(-),,270(cx),180(cx),90(33.33%),,18.76591968536377,30.3046875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_0.qasm,315,171,144(45.71%),,45,39,6(13.33%),,0(),0(),0(-),,315(cx),171(cx),144(45.71%),,16.093528985977173,31.0703125
