Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_6.qasm,135,82,53(39.26%),,45,24,21(46.67%),,0(),0(),0(-),,135(cx),82(cx),53(39.26%),,5.765684604644775,29.140625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_7.qasm,135,80,55(40.74%),,45,24,21(46.67%),,0(),0(),0(-),,135(cx),80(cx),55(40.74%),,4.562448501586914,28.390625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_8.qasm,135,80,55(40.74%),,45,21,24(53.33%),,0(),0(),0(-),,135(cx),80(cx),55(40.74%),,5.656231880187988,28.390625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_9.qasm,135,48,87(64.44%),,45,15,30(66.67%),,0(),0(),0(-),,135(cx),48(cx),87(64.44%),,3.843726634979248,29.55078125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_0.qasm,180,107,73(40.56%),,45,25,20(44.44%),,0(),0(),0(-),,180(cx),107(cx),73(40.56%),,7.031245470046997,29.40625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_1.qasm,180,104,76(42.22%),,45,30,15(33.33%),,0(),0(),0(-),,180(cx),104(cx),76(42.22%),,8.515682458877563,28.8984375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_2.qasm,180,92,88(48.89%),,45,24,21(46.67%),,0(),0(),0(-),,180(cx),92(cx),88(48.89%),,7.76607608795166,29.71484375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_3.qasm,180,98,82(45.56%),,45,31,14(31.11%),,0(),0(),0(-),,180(cx),98(cx),82(45.56%),,9.655757904052734,30.359375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_4.qasm,180,115,65(36.11%),,45,33,12(26.67%),,0(),0(),0(-),,180(cx),115(cx),65(36.11%),,8.953102827072144,30.21875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_5.qasm,180,108,72(40.00%),,45,25,20(44.44%),,0(),0(),0(-),,180(cx),108(cx),72(40.00%),,6.7969512939453125,28.8984375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_6.qasm,180,96,84(46.67%),,45,28,17(37.78%),,0(),0(),0(-),,180(cx),96(cx),84(46.67%),,9.641659498214722,29.61328125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_7.qasm,180,118,62(34.44%),,45,35,10(22.22%),,0(),0(),0(-),,180(cx),118(cx),62(34.44%),,11.170788288116455,30.21875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_8.qasm,180,126,54(30.00%),,45,34,11(24.44%),,0(),0(),0(-),,180(cx),126(cx),54(30.00%),,7.500018119812012,29.22265625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_9.qasm,180,104,76(42.22%),,45,29,16(35.56%),,0(),0(),0(-),,180(cx),104(cx),76(42.22%),,8.484392404556274,29.2421875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_0.qasm,225,125,100(44.44%),,45,32,13(28.89%),,0(),0(),0(-),,225(cx),125(cx),100(44.44%),,10.921869993209839,29.21875
