Filename,Size(number of gates),,,,Cycle,,,,SQGs,,,,MQGs,,,,Total Time
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.1D2_9.qasm,45,13,32(71.11%),,90,26,64(71.11%),,0(),0(),0(-),,45(cx),13(cx),32(71.11%),,0.046872615814208984
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_0.qasm,90,55,35(38.89%),,180,110,70(38.89%),,0(),0(),0(-),,90(cx),55(cx),35(38.89%),,2.20343279838562
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_1.qasm,90,55,35(38.89%),,180,110,70(38.89%),,0(),0(),0(-),,90(cx),55(cx),35(38.89%),,2.7183773517608643
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_2.qasm,90,60,30(33.33%),,180,120,60(33.33%),,0(),0(),0(-),,90(cx),60(cx),30(33.33%),,3.141892433166504
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_3.qasm,90,58,32(35.56%),,180,116,64(35.56%),,0(),0(),0(-),,90(cx),58(cx),32(35.56%),,2.3269333839416504
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_4.qasm,90,57,33(36.67%),,180,114,66(36.67%),,0(),0(),0(-),,90(cx),57(cx),33(36.67%),,3.0312914848327637
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_5.qasm,90,54,36(40.00%),,180,108,72(40.00%),,0(),0(),0(-),,90(cx),54(cx),36(40.00%),,3.296834945678711
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_6.qasm,90,55,35(38.89%),,180,110,70(38.89%),,0(),0(),0(-),,90(cx),55(cx),35(38.89%),,2.1875081062316895
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_7.qasm,90,52,38(42.22%),,180,104,76(42.22%),,0(),0(),0(-),,90(cx),52(cx),38(42.22%),,2.015692710876465
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_8.qasm,90,62,28(31.11%),,180,124,56(31.11%),,0(),0(),0(-),,90(cx),62(cx),28(31.11%),,2.5624711513519287
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_9.qasm,90,40,50(55.56%),,180,80,100(55.56%),,0(),0(),0(-),,90(cx),40(cx),50(55.56%),,2.2655394077301025
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_0.qasm,135,84,51(37.78%),,270,168,102(37.78%),,0(),0(),0(-),,135(cx),84(cx),51(37.78%),,6.015582084655762
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_1.qasm,135,88,47(34.81%),,270,176,94(34.81%),,0(),0(),0(-),,135(cx),88(cx),47(34.81%),,4.828115463256836
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_2.qasm,135,80,55(40.74%),,270,160,110(40.74%),,0(),0(),0(-),,135(cx),80(cx),55(40.74%),,5.812579393386841
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_3.qasm,135,86,49(36.30%),,270,172,98(36.30%),,0(),0(),0(-),,135(cx),86(cx),49(36.30%),,5.984340190887451
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_4.qasm,135,88,47(34.81%),,270,176,94(34.81%),,0(),0(),0(-),,135(cx),88(cx),47(34.81%),,4.749987840652466
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_5.qasm,135,77,58(42.96%),,270,154,116(42.96%),,0(),0(),0(-),,135(cx),77(cx),58(42.96%),,6.592837572097778
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_6.qasm,135,82,53(39.26%),,270,164,106(39.26%),,0(),0(),0(-),,135(cx),82(cx),53(39.26%),,5.797014474868774
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_7.qasm,135,80,55(40.74%),,270,160,110(40.74%),,0(),0(),0(-),,135(cx),80(cx),55(40.74%),,4.532089710235596
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_8.qasm,135,80,55(40.74%),,270,160,110(40.74%),,0(),0(),0(-),,135(cx),80(cx),55(40.74%),,5.6554856300354
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_9.qasm,135,48,87(64.44%),,270,96,174(64.44%),,0(),0(),0(-),,135(cx),48(cx),87(64.44%),,3.749864339828491
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_0.qasm,180,107,73(40.56%),,360,214,146(40.56%),,0(),0(),0(-),,180(cx),107(cx),73(40.56%),,6.953057050704956
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_1.qasm,180,104,76(42.22%),,360,208,152(42.22%),,0(),0(),0(-),,180(cx),104(cx),76(42.22%),,8.515579462051392
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_2.qasm,180,92,88(48.89%),,360,184,176(48.89%),,0(),0(),0(-),,180(cx),92(cx),88(48.89%),,7.750310182571411
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_3.qasm,180,98,82(45.56%),,360,196,164(45.56%),,0(),0(),0(-),,180(cx),98(cx),82(45.56%),,9.609130859375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_4.qasm,180,115,65(36.11%),,360,230,130(36.11%),,0(),0(),0(-),,180(cx),115(cx),65(36.11%),,9.01558518409729
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_5.qasm,180,108,72(40.00%),,360,216,144(40.00%),,0(),0(),0(-),,180(cx),108(cx),72(40.00%),,6.765952825546265
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_6.qasm,180,96,84(46.67%),,360,192,168(46.67%),,0(),0(),0(-),,180(cx),96(cx),84(46.67%),,9.624680995941162
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_7.qasm,180,118,62(34.44%),,360,236,124(34.44%),,0(),0(),0(-),,180(cx),118(cx),62(34.44%),,11.218743562698364
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_8.qasm,180,126,54(30.00%),,360,252,108(30.00%),,0(),0(),0(-),,180(cx),126(cx),54(30.00%),,7.484401226043701
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_9.qasm,180,104,76(42.22%),,360,208,152(42.22%),,0(),0(),0(-),,180(cx),104(cx),76(42.22%),,8.359333515167236
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_0.qasm,225,125,100(44.44%),,450,250,200(44.44%),,0(),0(),0(-),,225(cx),125(cx),100(44.44%),,10.781250715255737
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_1.qasm,225,122,103(45.78%),,450,244,206(45.78%),,0(),0(),0(-),,225(cx),122(cx),103(45.78%),,8.640614032745361
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_2.qasm,225,122,103(45.78%),,450,244,206(45.78%),,0(),0(),0(-),,225(cx),122(cx),103(45.78%),,12.89061188697815
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_3.qasm,225,140,85(37.78%),,450,280,170(37.78%),,0(),0(),0(-),,225(cx),140(cx),85(37.78%),,11.874369144439697
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_4.qasm,225,144,81(36.00%),,450,288,162(36.00%),,0(),0(),0(-),,225(cx),144(cx),81(36.00%),,11.999913454055786
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_5.qasm,225,128,97(43.11%),,450,256,194(43.11%),,0(),0(),0(-),,225(cx),128(cx),97(43.11%),,10.921912908554077
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_6.qasm,225,142,83(36.89%),,450,284,166(36.89%),,0(),0(),0(-),,225(cx),142(cx),83(36.89%),,11.921831369400024
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_7.qasm,225,150,75(33.33%),,450,300,150(33.33%),,0(),0(),0(-),,225(cx),150(cx),75(33.33%),,15.124983549118042
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_8.qasm,225,158,67(29.78%),,450,316,134(29.78%),,0(),0(),0(-),,225(cx),158(cx),67(29.78%),,12.859384536743164
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_9.qasm,225,129,96(42.67%),,450,258,192(42.67%),,0(),0(),0(-),,225(cx),129(cx),96(42.67%),,13.24990725517273
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_0.qasm,270,147,123(45.56%),,540,294,246(45.56%),,0(),0(),0(-),,270(cx),147(cx),123(45.56%),,16.515638828277588
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_1.qasm,270,183,87(32.22%),,540,366,174(32.22%),,0(),0(),0(-),,270(cx),183(cx),87(32.22%),,19.09373164176941
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_2.qasm,270,161,109(40.37%),,540,322,218(40.37%),,0(),0(),0(-),,270(cx),161(cx),109(40.37%),,14.234331607818604
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_3.qasm,270,175,95(35.19%),,540,350,190(35.19%),,0(),0(),0(-),,270(cx),175(cx),95(35.19%),,18.796944856643677
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_4.qasm,270,168,102(37.78%),,540,336,204(37.78%),,0(),0(),0(-),,270(cx),168(cx),102(37.78%),,14.718741655349731
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_5.qasm,270,161,109(40.37%),,540,322,218(40.37%),,0(),0(),0(-),,270(cx),161(cx),109(40.37%),,14.48427414894104
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_6.qasm,270,145,125(46.30%),,540,290,250(46.30%),,0(),0(),0(-),,270(cx),145(cx),125(46.30%),,13.2656888961792
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_7.qasm,270,165,105(38.89%),,540,330,210(38.89%),,0(),0(),0(-),,270(cx),165(cx),105(38.89%),,14.546820640563965
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_8.qasm,270,153,117(43.33%),,540,306,234(43.33%),,0(),0(),0(-),,270(cx),153(cx),117(43.33%),,13.562538385391235
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_9.qasm,270,179,91(33.70%),,540,358,182(33.70%),,0(),0(),0(-),,270(cx),179(cx),91(33.70%),,12.265578985214233
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_0.qasm,315,171,144(45.71%),,630,342,288(45.71%),,0(),0(),0(-),,315(cx),171(cx),144(45.71%),,15.89063811302185
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_1.qasm,315,192,123(39.05%),,630,384,246(39.05%),,0(),0(),0(-),,315(cx),192(cx),123(39.05%),,17.187451601028442
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_2.qasm,315,181,134(42.54%),,630,362,268(42.54%),,0(),0(),0(-),,315(cx),181(cx),134(42.54%),,20.171820402145386
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_3.qasm,315,189,126(40.00%),,630,378,252(40.00%),,0(),0(),0(-),,315(cx),189(cx),126(40.00%),,20.59374976158142
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_4.qasm,315,182,133(42.22%),,630,364,266(42.22%),,0(),0(),0(-),,315(cx),182(cx),133(42.22%),,20.21880030632019
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_5.qasm,315,185,130(41.27%),,630,370,260(41.27%),,0(),0(),0(-),,315(cx),185(cx),130(41.27%),,16.953017950057983
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_6.qasm,315,203,112(35.56%),,630,406,224(35.56%),,0(),0(),0(-),,315(cx),203(cx),112(35.56%),,17.921924114227295
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_7.qasm,315,179,136(43.17%),,630,358,272(43.17%),,0(),0(),0(-),,315(cx),179(cx),136(43.17%),,16.3585467338562
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_8.qasm,315,185,130(41.27%),,630,370,260(41.27%),,0(),0(),0(-),,315(cx),185(cx),130(41.27%),,17.00005054473877
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_9.qasm,315,180,135(42.86%),,630,360,270(42.86%),,0(),0(),0(-),,315(cx),180(cx),135(42.86%),,20.110857725143433
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.8D2_0.qasm,360,220,140(38.89%),,720,440,280(38.89%),,0(),0(),0(-),,360(cx),220(cx),140(38.89%),,24.514102697372437
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.8D2_1.qasm,360,195,165(45.83%),,720,390,330(45.83%),,0(),0(),0(-),,360(cx),195(cx),165(45.83%),,18.859355449676514
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.8D2_2.qasm,360,204,156(43.33%),,720,408,312(43.33%),,0(),0(),0(-),,360(cx),204(cx),156(43.33%),,19.265553951263428
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.8D2_3.qasm,360,200,160(44.44%),,720,400,320(44.44%),,0(),0(),0(-),,360(cx),200(cx),160(44.44%),,22.921936511993408
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.8D2_4.qasm,360,211,149(41.39%),,720,422,298(41.39%),,0(),0(),0(-),,360(cx),211(cx),149(41.39%),,23.593764543533325
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.8D2_5.qasm,360,207,153(42.50%),,720,414,306(42.50%),,0(),0(),0(-),,360(cx),207(cx),153(42.50%),,19.40621018409729
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.8D2_6.qasm,360,202,158(43.89%),,720,404,316(43.89%),,0(),0(),0(-),,360(cx),202(cx),158(43.89%),,19.062487840652466
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.8D2_7.qasm,360,197,163(45.28%),,720,394,326(45.28%),,0(),0(),0(-),,360(cx),197(cx),163(45.28%),,18.93743371963501
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.8D2_8.qasm,360,203,157(43.61%),,720,406,314(43.61%),,0(),0(),0(-),,360(cx),203(cx),157(43.61%),,19.031429767608643
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.8D2_9.qasm,360,205,155(43.06%),,720,410,310(43.06%),,0(),0(),0(-),,360(cx),205(cx),155(43.06%),,23.266156435012817
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.1D2_0.qasm,135,66,69(51.11%),,180,104,76(42.22%),,90(x),28(x),62(68.89%),,45(cx),38(cx),7(15.56%),,0.6869194507598877
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.1D2_1.qasm,135,83,52(38.52%),,180,124,56(31.11%),,90(x),42(x),48(53.33%),,45(cx),41(cx),4(8.89%),,0.5312213897705078
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.1D2_2.qasm,135,53,82(60.74%),,180,80,100(55.56%),,90(x),26(x),64(71.11%),,45(cx),27(cx),18(40.00%),,0.6563682556152344
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.1D2_3.qasm,135,56,79(58.52%),,180,88,92(51.11%),,90(x),24(x),66(73.33%),,45(cx),32(cx),13(28.89%),,0.7185547351837158
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.1D2_4.qasm,135,59,76(56.30%),,180,92,88(48.89%),,90(x),26(x),64(71.11%),,45(cx),33(cx),12(26.67%),,0.7969517707824707
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.1D2_5.qasm,135,67,68(50.37%),,180,100,80(44.44%),,90(x),34(x),56(62.22%),,45(cx),33(cx),12(26.67%),,0.6562051773071289
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.1D2_6.qasm,135,68,67(49.63%),,180,102,78(43.33%),,90(x),34(x),56(62.22%),,45(cx),34(cx),11(24.44%),,0.6719231605529785
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.1D2_7.qasm,135,57,78(57.78%),,180,88,92(51.11%),,90(x),26(x),64(71.11%),,45(cx),31(cx),14(31.11%),,0.5624434947967529
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.1D2_8.qasm,135,55,80(59.26%),,180,90,90(50.00%),,90(x),20(x),70(77.78%),,45(cx),35(cx),10(22.22%),,0.6406433582305908
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.1D2_9.qasm,135,58,77(57.04%),,180,88,92(51.11%),,90(x),28(x),62(68.89%),,45(cx),30(cx),15(33.33%),,0.71878981590271
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.2D2_0.qasm,180,111,69(38.33%),,270,182,88(32.59%),,90(x),40(x),50(55.56%),,90(cx),71(cx),19(21.11%),,1.828138828277588
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.2D2_1.qasm,180,122,58(32.22%),,270,202,68(25.19%),,90(x),42(x),48(53.33%),,90(cx),80(cx),10(11.11%),,1.2811758518218994
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.2D2_2.qasm,180,89,91(50.56%),,270,150,120(44.44%),,90(x),28(x),62(68.89%),,90(cx),61(cx),29(32.22%),,2.7343711853027344
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.2D2_3.qasm,180,105,75(41.67%),,270,170,100(37.04%),,90(x),40(x),50(55.56%),,90(cx),65(cx),25(27.78%),,1.6874792575836182
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.2D2_4.qasm,180,130,50(27.78%),,270,208,62(22.96%),,90(x),52(x),38(42.22%),,90(cx),78(cx),12(13.33%),,2.5469913482666016
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.2D2_5.qasm,180,106,74(41.11%),,270,176,94(34.81%),,90(x),36(x),54(60.00%),,90(cx),70(cx),20(22.22%),,1.8593688011169434
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.2D2_6.qasm,180,95,85(47.22%),,270,152,118(43.70%),,90(x),38(x),52(57.78%),,90(cx),57(cx),33(36.67%),,2.140650749206543
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.2D2_7.qasm,180,107,73(40.56%),,270,172,98(36.30%),,90(x),42(x),48(53.33%),,90(cx),65(cx),25(27.78%),,1.578195333480835
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.2D2_8.qasm,180,104,76(42.22%),,270,172,98(36.30%),,90(x),36(x),54(60.00%),,90(cx),68(cx),22(24.44%),,2.7501895427703857
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.2D2_9.qasm,180,104,76(42.22%),,270,178,92(34.07%),,90(x),30(x),60(66.67%),,90(cx),74(cx),16(17.78%),,1.9377875328063965
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.3D2_0.qasm,225,145,80(35.56%),,360,244,116(32.22%),,90(x),46(x),44(48.89%),,135(cx),99(cx),36(26.67%),,3.1246230602264404
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.3D2_1.qasm,225,143,82(36.44%),,360,244,116(32.22%),,90(x),42(x),48(53.33%),,135(cx),101(cx),34(25.19%),,3.187455415725708
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.3D2_2.qasm,225,140,85(37.78%),,360,236,124(34.44%),,90(x),44(x),46(51.11%),,135(cx),96(cx),39(28.89%),,2.9687538146972656
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.3D2_3.qasm,225,149,76(33.78%),,360,248,112(31.11%),,90(x),50(x),40(44.44%),,135(cx),99(cx),36(26.67%),,3.015599250793457
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.3D2_4.qasm,225,160,65(28.89%),,360,272,88(24.44%),,90(x),48(x),42(46.67%),,135(cx),112(cx),23(17.04%),,2.3281593322753906
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.3D2_5.qasm,225,148,77(34.22%),,360,250,110(30.56%),,90(x),46(x),44(48.89%),,135(cx),102(cx),33(24.44%),,3.0780794620513916
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.3D2_6.qasm,225,130,95(42.22%),,360,222,138(38.33%),,90(x),38(x),52(57.78%),,135(cx),92(cx),43(31.85%),,3.921902894973755
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.3D2_7.qasm,225,149,76(33.78%),,360,244,116(32.22%),,90(x),54(x),36(40.00%),,135(cx),95(cx),40(29.63%),,4.48443078994751
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.3D2_8.qasm,225,136,89(39.56%),,360,232,128(35.56%),,90(x),40(x),50(55.56%),,135(cx),96(cx),39(28.89%),,3.968984365463257
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.3D2_9.qasm,225,143,82(36.44%),,360,244,116(32.22%),,90(x),42(x),48(53.33%),,135(cx),101(cx),34(25.19%),,4.952787637710571
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.4D2_0.qasm,270,164,106(39.26%),,450,280,170(37.78%),,90(x),48(x),42(46.67%),,180(cx),116(cx),64(35.56%),,4.0938029289245605
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.4D2_1.qasm,270,191,79(29.26%),,450,330,120(26.67%),,90(x),52(x),38(42.22%),,180(cx),139(cx),41(22.78%),,6.218705177307129
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.4D2_2.qasm,270,177,93(34.44%),,450,300,150(33.33%),,90(x),54(x),36(40.00%),,180(cx),123(cx),57(31.67%),,4.109339714050293
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.4D2_3.qasm,270,168,102(37.78%),,450,296,154(34.22%),,90(x),40(x),50(55.56%),,180(cx),128(cx),52(28.89%),,6.421851873397827
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.4D2_4.qasm,270,171,99(36.67%),,450,290,160(35.56%),,90(x),52(x),38(42.22%),,180(cx),119(cx),61(33.89%),,5.312487602233887
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.4D2_5.qasm,270,170,100(37.04%),,450,296,154(34.22%),,90(x),44(x),46(51.11%),,180(cx),126(cx),54(30.00%),,4.56251859664917
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.4D2_6.qasm,270,193,77(28.52%),,450,334,116(25.78%),,90(x),52(x),38(42.22%),,180(cx),141(cx),39(21.67%),,4.906444072723389
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.4D2_7.qasm,270,194,76(28.15%),,450,336,114(25.33%),,90(x),52(x),38(42.22%),,180(cx),142(cx),38(21.11%),,4.843556642532349
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.4D2_8.qasm,270,169,101(37.41%),,450,292,158(35.11%),,90(x),46(x),44(48.89%),,180(cx),123(cx),57(31.67%),,5.672114372253418
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.4D2_9.qasm,270,160,110(40.74%),,450,274,176(39.11%),,90(x),46(x),44(48.89%),,180(cx),114(cx),66(36.67%),,5.4218902587890625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.5D2_0.qasm,315,210,105(33.33%),,540,366,174(32.22%),,90(x),54(x),36(40.00%),,225(cx),156(cx),69(30.67%),,7.79667329788208
