Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_7.qasm,135,79,56(41.48%),,45,26,19(42.22%),,0(),0(),0(-),,135(cx),79(cx),56(41.48%),,5.6572465896606445
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_8.qasm,135,81,54(40.00%),,45,23,22(48.89%),,0(),0(),0(-),,135(cx),81(cx),54(40.00%),,5.874035120010376
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_9.qasm,135,45,90(66.67%),,45,15,30(66.67%),,0(),0(),0(-),,135(cx),45(cx),90(66.67%),,4.285134792327881
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_0.qasm,180,107,73(40.56%),,45,25,20(44.44%),,0(),0(),0(-),,180(cx),107(cx),73(40.56%),,7.117988348007202
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_1.qasm,180,104,76(42.22%),,45,30,15(33.33%),,0(),0(),0(-),,180(cx),104(cx),76(42.22%),,8.63512921333313
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_2.qasm,180,93,87(48.33%),,45,26,19(42.22%),,0(),0(),0(-),,180(cx),93(cx),87(48.33%),,9.276073932647705
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_3.qasm,180,94,86(47.78%),,45,30,15(33.33%),,0(),0(),0(-),,180(cx),94(cx),86(47.78%),,9.624231576919556
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_4.qasm,180,115,65(36.11%),,45,33,12(26.67%),,0(),0(),0(-),,180(cx),115(cx),65(36.11%),,9.185936689376831
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_5.qasm,180,109,71(39.44%),,45,25,20(44.44%),,0(),0(),0(-),,180(cx),109(cx),71(39.44%),,6.95381760597229
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_6.qasm,180,95,85(47.22%),,45,28,17(37.78%),,0(),0(),0(-),,180(cx),95(cx),85(47.22%),,9.73517894744873
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_7.qasm,180,119,61(33.89%),,45,33,12(26.67%),,0(),0(),0(-),,180(cx),119(cx),61(33.89%),,9.282665729522705
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_8.qasm,180,125,55(30.56%),,45,34,11(24.44%),,0(),0(),0(-),,180(cx),125(cx),55(30.56%),,7.512837648391724
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_9.qasm,180,108,72(40.00%),,45,30,15(33.33%),,0(),0(),0(-),,180(cx),108(cx),72(40.00%),,8.797824144363403
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_0.qasm,225,127,98(43.56%),,45,32,13(28.89%),,0(),0(),0(-),,225(cx),127(cx),98(43.56%),,11.25112247467041
