Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.1D2_0.qasm,45,23,22(48.89%),,45,15,30(66.67%),,0(),0(),0(-),,45(cx),23(cx),22(48.89%),,0.12498140335083008,27.875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.1D2_1.qasm,45,26,19(42.22%),,45,22,23(51.11%),,0(),0(),0(-),,45(cx),26(cx),19(42.22%),,0.2032456398010254,27.94921875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.1D2_2.qasm,45,24,21(46.67%),,45,17,28(62.22%),,0(),0(),0(-),,45(cx),24(cx),21(46.67%),,0.28113412857055664,28.0546875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.1D2_3.qasm,45,22,23(51.11%),,44,18,26(59.09%),,0(),0(),0(-),,45(cx),22(cx),23(51.11%),,0.09374403953552246,27.5546875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.1D2_4.qasm,45,28,17(37.78%),,45,20,25(55.56%),,0(),0(),0(-),,45(cx),28(cx),17(37.78%),,0.18748688697814941,27.9921875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.1D2_5.qasm,45,18,27(60.00%),,45,7,38(84.44%),,0(),0(),0(-),,45(cx),18(cx),27(60.00%),,0.07810688018798828,27.9921875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.1D2_6.qasm,45,19,26(57.78%),,45,13,32(71.11%),,0(),0(),0(-),,45(cx),19(cx),26(57.78%),,0.10936737060546875,27.4921875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.1D2_7.qasm,45,21,24(53.33%),,45,10,35(77.78%),,0(),0(),0(-),,45(cx),21(cx),24(53.33%),,0.1718754768371582,28.0546875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.1D2_8.qasm,45,24,21(46.67%),,45,17,28(62.22%),,0(),0(),0(-),,45(cx),24(cx),21(46.67%),,0.12499117851257324,27.55078125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.1D2_9.qasm,45,13,32(71.11%),,45,8,37(82.22%),,0(),0(),0(-),,45(cx),13(cx),32(71.11%),,0.06250190734863281,28.0546875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_0.qasm,90,54,36(40.00%),,45,20,25(55.56%),,0(),0(),0(-),,90(cx),54(cx),36(40.00%),,2.2499661445617676,27.75
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_1.qasm,90,54,36(40.00%),,45,14,31(68.89%),,0(),0(),0(-),,90(cx),54(cx),36(40.00%),,2.672320604324341,28.31640625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_2.qasm,90,59,31(34.44%),,45,21,24(53.33%),,0(),0(),0(-),,90(cx),59(cx),31(34.44%),,3.1412956714630127,28.19140625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_3.qasm,90,62,28(31.11%),,45,26,19(42.22%),,0(),0(),0(-),,90(cx),62(cx),28(31.11%),,2.436434507369995,28.19140625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_4.qasm,90,56,34(37.78%),,45,18,27(60.00%),,0(),0(),0(-),,90(cx),56(cx),34(37.78%),,2.9844717979431152,27.6875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_5.qasm,90,54,36(40.00%),,45,17,28(62.22%),,0(),0(),0(-),,90(cx),54(cx),36(40.00%),,3.3436279296875,28.19921875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_6.qasm,90,55,35(38.89%),,45,17,28(62.22%),,0(),0(),0(-),,90(cx),55(cx),35(38.89%),,2.1882710456848145,27.98046875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_7.qasm,90,53,37(41.11%),,45,21,24(53.33%),,0(),0(),0(-),,90(cx),53(cx),37(41.11%),,2.1252355575561523,28.0703125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_8.qasm,90,62,28(31.11%),,45,24,21(46.67%),,0(),0(),0(-),,90(cx),62(cx),28(31.11%),,2.6710853576660156,28.06640625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.2D2_9.qasm,90,43,47(52.22%),,45,15,30(66.67%),,0(),0(),0(-),,90(cx),43(cx),47(52.22%),,2.0627832412719727,28.7578125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_0.qasm,135,86,49(36.30%),,45,29,16(35.56%),,0(),0(),0(-),,135(cx),86(cx),49(36.30%),,6.157133102416992,28.74609375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_1.qasm,135,87,48(35.56%),,45,22,23(51.11%),,0(),0(),0(-),,135(cx),87(cx),48(35.56%),,4.842630386352539,29.25
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_2.qasm,135,81,54(40.00%),,45,26,19(42.22%),,0(),0(),0(-),,135(cx),81(cx),54(40.00%),,5.891078233718872,28.0390625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_3.qasm,135,87,48(35.56%),,45,22,23(51.11%),,0(),0(),0(-),,135(cx),87(cx),48(35.56%),,6.1714489459991455,28.6640625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_4.qasm,135,86,49(36.30%),,45,25,20(44.44%),,0(),0(),0(-),,135(cx),86(cx),49(36.30%),,4.828715801239014,28.234375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_5.qasm,135,77,58(42.96%),,45,18,27(60.00%),,0(),0(),0(-),,135(cx),77(cx),58(42.96%),,6.656779050827026,27.99609375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_6.qasm,135,85,50(37.04%),,45,25,20(44.44%),,0(),0(),0(-),,135(cx),85(cx),50(37.04%),,5.858349323272705,29.25
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_7.qasm,135,83,52(38.52%),,45,27,18(40.00%),,0(),0(),0(-),,135(cx),83(cx),52(38.52%),,5.891033172607422,28.49609375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_8.qasm,135,81,54(40.00%),,45,24,21(46.67%),,0(),0(),0(-),,135(cx),81(cx),54(40.00%),,6.9538257122039795,28.61328125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.3D2_9.qasm,135,41,94(69.63%),,45,12,33(73.33%),,0(),0(),0(-),,135(cx),41(cx),94(69.63%),,4.12396502494812,28.73046875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_0.qasm,180,109,71(39.44%),,45,25,20(44.44%),,0(),0(),0(-),,180(cx),109(cx),71(39.44%),,8.891390800476074,28.078125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_1.qasm,180,104,76(42.22%),,45,30,15(33.33%),,0(),0(),0(-),,180(cx),104(cx),76(42.22%),,8.640016555786133,29.3515625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_2.qasm,180,90,90(50.00%),,45,25,20(44.44%),,0(),0(),0(-),,180(cx),90(cx),90(50.00%),,9.437857389450073,28.24609375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_3.qasm,180,98,82(45.56%),,45,31,14(31.11%),,0(),0(),0(-),,180(cx),98(cx),82(45.56%),,9.796621084213257,28.42578125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_4.qasm,180,110,70(38.89%),,45,34,11(24.44%),,0(),0(),0(-),,180(cx),110(cx),70(38.89%),,8.921744585037231,29.6484375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_5.qasm,180,112,68(37.78%),,45,27,18(40.00%),,0(),0(),0(-),,180(cx),112(cx),68(37.78%),,7.0157470703125,28.43359375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_6.qasm,180,98,82(45.56%),,45,29,16(35.56%),,0(),0(),0(-),,180(cx),98(cx),82(45.56%),,10.124940395355225,29.2265625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_7.qasm,180,118,62(34.44%),,45,35,10(22.22%),,0(),0(),0(-),,180(cx),118(cx),62(34.44%),,11.26559829711914,30.140625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_8.qasm,180,125,55(30.56%),,45,34,11(24.44%),,0(),0(),0(-),,180(cx),125(cx),55(30.56%),,7.51606559753418,30.203125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.4D2_9.qasm,180,102,78(43.33%),,45,28,17(37.78%),,0(),0(),0(-),,180(cx),102(cx),78(43.33%),,10.124638080596924,29.265625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_0.qasm,225,123,102(45.33%),,45,32,13(28.89%),,0(),0(),0(-),,225(cx),123(cx),102(45.33%),,11.109315872192383,30.33984375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_1.qasm,225,122,103(45.78%),,45,34,11(24.44%),,0(),0(),0(-),,225(cx),122(cx),103(45.78%),,8.766693592071533,30.55078125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_2.qasm,225,122,103(45.78%),,45,32,13(28.89%),,0(),0(),0(-),,225(cx),122(cx),103(45.78%),,13.108288526535034,29.17578125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_3.qasm,225,145,80(35.56%),,45,36,9(20.00%),,0(),0(),0(-),,225(cx),145(cx),80(35.56%),,12.265679121017456,29.41015625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_4.qasm,225,144,81(36.00%),,45,38,7(15.56%),,0(),0(),0(-),,225(cx),144(cx),81(36.00%),,12.078131437301636,30.6171875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_5.qasm,225,129,96(42.67%),,45,29,16(35.56%),,0(),0(),0(-),,225(cx),129(cx),96(42.67%),,11.281219244003296,30.6484375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_6.qasm,225,141,84(37.33%),,45,37,8(17.78%),,0(),0(),0(-),,225(cx),141(cx),84(37.33%),,12.046905040740967,29.3984375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_7.qasm,225,152,73(32.44%),,45,38,7(15.56%),,0(),0(),0(-),,225(cx),152(cx),73(32.44%),,12.796887397766113,29.140625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_8.qasm,225,158,67(29.78%),,45,38,7(15.56%),,0(),0(),0(-),,225(cx),158(cx),67(29.78%),,13.124944686889648,30.69921875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_9.qasm,225,135,90(40.00%),,45,33,12(26.67%),,0(),0(),0(-),,225(cx),135(cx),90(40.00%),,13.82816457748413,30.62109375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_0.qasm,270,157,113(41.85%),,45,37,8(17.78%),,0(),0(),0(-),,270(cx),157(cx),113(41.85%),,17.01560354232788,30.8515625
