Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_9.qasm,135,48,87(64.44%),,45,15,30(66.67%),,0(),0(),0(-),,135(cx),48(cx),87(64.44%),,2.6492738723754883,49.0859375
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_0.qasm,180,107,73(40.56%),,45,25,20(44.44%),,0(),0(),0(-),,180(cx),107(cx),73(40.56%),,4.87232232093811,49.51171875
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_1.qasm,180,104,76(42.22%),,45,30,15(33.33%),,0(),0(),0(-),,180(cx),104(cx),76(42.22%),,5.894105672836304,49.53125
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_2.qasm,180,92,88(48.89%),,45,24,21(46.67%),,0(),0(),0(-),,180(cx),92(cx),88(48.89%),,5.408869504928589,49.58984375
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_3.qasm,180,98,82(45.56%),,45,31,14(31.11%),,0(),0(),0(-),,180(cx),98(cx),82(45.56%),,6.711888551712036,49.5625
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_4.qasm,180,115,65(36.11%),,45,33,12(26.67%),,0(),0(),0(-),,180(cx),115(cx),65(36.11%),,6.272781610488892,49.671875
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_5.qasm,180,108,72(40.00%),,45,25,20(44.44%),,0(),0(),0(-),,180(cx),108(cx),72(40.00%),,4.700913667678833,49.6171875
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_6.qasm,180,96,84(46.67%),,45,28,17(37.78%),,0(),0(),0(-),,180(cx),96(cx),84(46.67%),,6.78153395652771,49.5703125
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_7.qasm,180,118,62(34.44%),,45,35,10(22.22%),,0(),0(),0(-),,180(cx),118(cx),62(34.44%),,7.815834999084473,49.65234375
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_8.qasm,180,126,54(30.00%),,45,34,11(24.44%),,0(),0(),0(-),,180(cx),126(cx),54(30.00%),,5.245418548583984,49.55078125
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_9.qasm,180,104,76(42.22%),,45,29,16(35.56%),,0(),0(),0(-),,180(cx),104(cx),76(42.22%),,5.912702322006226,49.55859375
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_0.qasm,225,125,100(44.44%),,45,32,13(28.89%),,0(),0(),0(-),,225(cx),125(cx),100(44.44%),,7.6476569175720215,50.1640625
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_1.qasm,225,122,103(45.78%),,45,34,11(24.44%),,0(),0(),0(-),,225(cx),122(cx),103(45.78%),,6.048333406448364,50.18359375
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_2.qasm,225,122,103(45.78%),,45,32,13(28.89%),,0(),0(),0(-),,225(cx),122(cx),103(45.78%),,9.061031103134155,50.08984375
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_3.qasm,225,140,85(37.78%),,45,34,11(24.44%),,0(),0(),0(-),,225(cx),140(cx),85(37.78%),,8.332180500030518,50.109375
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_4.qasm,225,144,81(36.00%),,45,38,7(15.56%),,0(),0(),0(-),,225(cx),144(cx),81(36.00%),,8.435617685317993,50.17578125
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_5.qasm,225,128,97(43.11%),,45,28,17(37.78%),,0(),0(),0(-),,225(cx),128(cx),97(43.11%),,7.7022058963775635,50.15625
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_6.qasm,225,142,83(36.89%),,45,37,8(17.78%),,0(),0(),0(-),,225(cx),142(cx),83(36.89%),,8.382033824920654,50.015625
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_7.qasm,225,150,75(33.33%),,45,34,11(24.44%),,0(),0(),0(-),,225(cx),150(cx),75(33.33%),,10.625604391098022,49.984375
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_8.qasm,225,158,67(29.78%),,45,39,6(13.33%),,0(),0(),0(-),,225(cx),158(cx),67(29.78%),,8.976251363754272,50.2890625
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_9.qasm,225,129,96(42.67%),,45,32,13(28.89%),,0(),0(),0(-),,225(cx),129(cx),96(42.67%),,9.263297080993652,50.2421875
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_0.qasm,270,147,123(45.56%),,45,36,9(20.00%),,0(),0(),0(-),,270(cx),147(cx),123(45.56%),,11.446272134780884,51.01953125
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_1.qasm,270,183,87(32.22%),,45,39,6(13.33%),,0(),0(),0(-),,270(cx),183(cx),87(32.22%),,13.343003749847412,50.8828125
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_2.qasm,270,161,109(40.37%),,45,37,8(17.78%),,0(),0(),0(-),,270(cx),161(cx),109(40.37%),,10.056971073150635,50.97265625
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_3.qasm,270,175,95(35.19%),,45,37,8(17.78%),,0(),0(),0(-),,270(cx),175(cx),95(35.19%),,13.18029522895813,51.0859375
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_4.qasm,270,168,102(37.78%),,45,40,5(11.11%),,0(),0(),0(-),,270(cx),168(cx),102(37.78%),,10.302191495895386,51.03515625
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_5.qasm,270,161,109(40.37%),,45,36,9(20.00%),,0(),0(),0(-),,270(cx),161(cx),109(40.37%),,10.14354944229126,50.9765625
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_6.qasm,270,145,125(46.30%),,45,36,9(20.00%),,0(),0(),0(-),,270(cx),145(cx),125(46.30%),,9.33521318435669,50.9453125
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_7.qasm,270,165,105(38.89%),,45,40,5(11.11%),,0(),0(),0(-),,270(cx),165(cx),105(38.89%),,10.279214143753052,51.0390625
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_8.qasm,270,153,117(43.33%),,45,38,7(15.56%),,0(),0(),0(-),,270(cx),153(cx),117(43.33%),,9.623306512832642,51.09375
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_9.qasm,270,179,91(33.70%),,45,39,6(13.33%),,0(),0(),0(-),,270(cx),179(cx),91(33.70%),,8.637301445007324,50.8984375
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_0.qasm,315,171,144(45.71%),,45,39,6(13.33%),,0(),0(),0(-),,315(cx),171(cx),144(45.71%),,11.121907711029053,52.546875
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_1.qasm,315,192,123(39.05%),,45,45,0(-),,0(),0(),0(-),,315(cx),192(cx),123(39.05%),,12.094055414199829,52.37890625
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_2.qasm,315,181,134(42.54%),,45,44,1(2.22%),,0(),0(),0(-),,315(cx),181(cx),134(42.54%),,14.093143939971924,52.2734375
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_3.qasm,315,189,126(40.00%),,45,45,0(-),,0(),0(),0(-),,315(cx),189(cx),126(40.00%),,14.418593883514404,52.15625
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_4.qasm,315,182,133(42.22%),,45,38,7(15.56%),,0(),0(),0(-),,315(cx),182(cx),133(42.22%),,14.19838285446167,52.35546875
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_5.qasm,315,185,130(41.27%),,45,41,4(8.89%),,0(),0(),0(-),,315(cx),185(cx),130(41.27%),,11.918716669082642,53.08984375
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_6.qasm,315,203,112(35.56%),,45,44,1(2.22%),,0(),0(),0(-),,315(cx),203(cx),112(35.56%),,12.613627195358276,53.2578125
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_7.qasm,315,179,136(43.17%),,45,37,8(17.78%),,0(),0(),0(-),,315(cx),179(cx),136(43.17%),,11.536087989807129,53.109375
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_8.qasm,315,185,130(41.27%),,45,39,6(13.33%),,0(),0(),0(-),,315(cx),185(cx),130(41.27%),,11.979214668273926,53.08203125
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_9.qasm,315,180,135(42.86%),,45,39,6(13.33%),,0(),0(),0(-),,315(cx),180(cx),135(42.86%),,14.170106410980225,52.94140625
