Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_9.qasm,135,87,48(35.56%),,45,24,21(46.67%),,0(),0(),0(-),,135(cx),87(cx),48(35.56%),,22.124983072280884,16.09765625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_0.qasm,180,139,41(22.78%),,45,34,11(24.44%),,0(),0(),0(-),,180(cx),139(cx),41(22.78%),,43.015584230422974,16.25
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_1.qasm,180,131,49(27.22%),,45,33,12(26.67%),,0(),0(),0(-),,180(cx),131(cx),49(27.22%),,39.95317101478577,16.421875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_2.qasm,180,124,56(31.11%),,45,36,9(20.00%),,0(),0(),0(-),,180(cx),124(cx),56(31.11%),,37.01559495925903,16.671875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_3.qasm,180,137,43(23.89%),,45,39,6(13.33%),,0(),0(),0(-),,180(cx),137(cx),43(23.89%),,41.750038146972656,16.74609375
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_4.qasm,180,143,37(20.56%),,45,39,6(13.33%),,0(),0(),0(-),,180(cx),143(cx),37(20.56%),,43.562520027160645,16.46875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_5.qasm,180,135,45(25.00%),,45,30,15(33.33%),,0(),0(),0(-),,180(cx),135(cx),45(25.00%),,40.31256103515625,16.85546875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_6.qasm,180,141,39(21.67%),,45,36,9(20.00%),,0(),0(),0(-),,180(cx),141(cx),39(21.67%),,42.18750739097595,16.7421875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_7.qasm,180,144,36(20.00%),,45,37,8(17.78%),,0(),0(),0(-),,180(cx),144(cx),36(20.00%),,44.06248641014099,16.5546875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_8.qasm,180,141,39(21.67%),,45,36,9(20.00%),,0(),0(),0(-),,180(cx),141(cx),39(21.67%),,44.71871566772461,16.921875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_9.qasm,180,134,46(25.56%),,45,33,12(26.67%),,0(),0(),0(-),,180(cx),134(cx),46(25.56%),,42.09316945075989,16.5
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_0.qasm,225,156,69(30.67%),,45,36,9(20.00%),,0(),0(),0(-),,225(cx),156(cx),69(30.67%),,52.202988386154175,16.81640625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_1.qasm,225,170,55(24.44%),,45,40,5(11.11%),,0(),0(),0(-),,225(cx),170(cx),55(24.44%),,56.56251549720764,17.1640625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_2.qasm,225,167,58(25.78%),,45,41,4(8.89%),,0(),0(),0(-),,225(cx),167(cx),58(25.78%),,55.8287718296051,17.16015625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_3.qasm,225,172,53(23.56%),,45,40,5(11.11%),,0(),0(),0(-),,225(cx),172(cx),53(23.56%),,60.333096504211426,17.03125
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_4.qasm,225,173,52(23.11%),,45,42,3(6.67%),,0(),0(),0(-),,225(cx),173(cx),52(23.11%),,57.62669014930725,17.1875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_5.qasm,225,160,65(28.89%),,45,35,10(22.22%),,0(),0(),0(-),,225(cx),160(cx),65(28.89%),,52.25417160987854,17.04296875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_6.qasm,225,173,52(23.11%),,45,40,5(11.11%),,0(),0(),0(-),,225(cx),173(cx),52(23.11%),,59.350539207458496,17.2421875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_7.qasm,225,170,55(24.44%),,45,35,10(22.22%),,0(),0(),0(-),,225(cx),170(cx),55(24.44%),,58.20790672302246,16.82421875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_8.qasm,225,180,45(20.00%),,45,43,2(4.44%),,0(),0(),0(-),,225(cx),180(cx),45(20.00%),,61.55276322364807,17.04296875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_9.qasm,225,170,55(24.44%),,45,37,8(17.78%),,0(),0(),0(-),,225(cx),170(cx),55(24.44%),,55.6143696308136,17.2890625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_0.qasm,270,195,75(27.78%),,45,42,3(6.67%),,0(),0(),0(-),,270(cx),195(cx),75(27.78%),,74.7260513305664,17.49609375
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_1.qasm,270,204,66(24.44%),,45,40,5(11.11%),,0(),0(),0(-),,270(cx),204(cx),66(24.44%),,82.01925373077393,17.66796875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_2.qasm,270,195,75(27.78%),,45,43,2(4.44%),,0(),0(),0(-),,270(cx),195(cx),75(27.78%),,76.17876839637756,17.77734375
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_3.qasm,270,214,56(20.74%),,45,45,0(-),,0(),0(),0(-),,270(cx),214(cx),56(20.74%),,85.1008551120758,17.3046875
