Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_9.qasm,135,41,94(69.63%),,45,12,33(73.33%),,0(),0(),0(-),,135(cx),41(cx),94(69.63%),,4.35939621925354,29.1328125
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_0.qasm,180,107,73(40.56%),,45,25,20(44.44%),,0(),0(),0(-),,180(cx),107(cx),73(40.56%),,7.046910047531128,28.6328125
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_1.qasm,180,104,76(42.22%),,45,30,15(33.33%),,0(),0(),0(-),,180(cx),104(cx),76(42.22%),,8.578058242797852,30.17578125
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_2.qasm,180,92,88(48.89%),,45,24,21(46.67%),,0(),0(),0(-),,180(cx),92(cx),88(48.89%),,9.218767881393433,29.63671875
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_3.qasm,180,98,82(45.56%),,45,31,14(31.11%),,0(),0(),0(-),,180(cx),98(cx),82(45.56%),,9.718752145767212,28.90625
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_4.qasm,180,115,65(36.11%),,45,33,12(26.67%),,0(),0(),0(-),,180(cx),115(cx),65(36.11%),,9.000143766403198,28.77734375
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_5.qasm,180,111,69(38.33%),,45,27,18(40.00%),,0(),0(),0(-),,180(cx),111(cx),69(38.33%),,6.921908378601074,28.9453125
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_6.qasm,180,99,81(45.00%),,45,29,16(35.56%),,0(),0(),0(-),,180(cx),99(cx),81(45.00%),,10.046652793884277,29.49609375
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_7.qasm,180,118,62(34.44%),,45,34,11(24.44%),,0(),0(),0(-),,180(cx),118(cx),62(34.44%),,11.234350204467773,28.78125
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_8.qasm,180,125,55(30.56%),,45,34,11(24.44%),,0(),0(),0(-),,180(cx),125(cx),55(30.56%),,7.468813419342041,30.44921875
