ID,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_Mean,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume
1.nii.gz,61.0,143.0,247318096.0,2.423836894780259,47.0,2.68051579235261,222.0,101.21876993166288,26.196695035829,99.0,15.0,207.0,19.207999416549406,106.14772360023802,0.23404763197582318,247318096.0,0.21077688887043963,1022.099839033629,22.395769041706444,106.88623798999865,3.3050048187023915,6.356621118938627,0.5191013799393813,0.8489787909137956,0.45917255870655854,1.108861645900172,0.29592935239828966,0.7802282486181711,0.7764066027700031,0.9937242722484703,0.95462439506963,-0.39323148124165486,0.9150222733841398,0.40837447974543706,4.575628682345414,0.09150407917166903,3.8930397327718986,0.8524064852593203,0.16775360277706158,9.151257364690828,3.315454695801769,1.7189306247195018,5.3416938358325385,3091.6515717539864,0.14084972992045497,3.742206410302977,4626.552710706151,1.7222356235179352,22.59776765375854,33.97266514806378,727.8251936218679,2.2475378090078517,0.06506982339210889,0.06500280805944246,1.5893629893634666,0.004460743383179774,3798.6121446083207,0.20798219487311667,1.7712097330434433,22.916717977300575,3.850996790950929,83.36092608873126,0.2547881827193108,0.0648732487859328,3.141634349646568,16102.082987422227,0.7816584473418522,0.8269914140529177,1.2259738942533631,0.8526229659061847,19.57979665105255,0.055347315444439,165.01183431952663,0.1627335644176791,2.8061079794124852,26.43491124260355,20545.01775147929,374203.9437869823,1382.5889274675828,0.07458545064237981,138.9388560157791,0.1370205680628985,0.3522240778586175,8.936722401094888,0.03012010798324535,6.381955357172434,0.046195899772209566,20076.42761885866,38.48707471688638,0.0006026982915678775,12.84851225738829,0.017894413379742468,0.018798740431335035,0.7857591552069482,0.09341697456939961,13.757130215419659,147.2658505462459,143.0,125.25573839150046,158.80806024884254,166.2197340871414,21762.833333333332,115.71549031605088,0.0851260961204508,44282.45582925277,2.0347743858069696,21950.0
10.nii.gz,44.0,87.0,58941130.0,1.5959758701142415,22.0,3.0343635150253467,121.0,65.12404052809333,13.376542896813541,65.0,0.0,121.0,9.436017361485813,67.26208940075922,0.030369844160049002,58941130.0,0.3886089586313186,283.0480158509826,10.167129721029045,9.261539152771954,-0.015884018991326427,1.7239519569249373,0.3545967610814072,0.6587959289720816,0.33957667817045956,0.9336952629747345,0.22899449373435055,0.8327081921248879,0.8317136692058649,0.9864821051015019,0.9437610211403004,-0.2856509091038297,0.7428706792609483,0.3264984784061683,3.1344507260486534,0.22242452686967354,2.6986068828089094,0.6769851251221801,0.3988563256309806,6.268901452097307,2.3134132289867058,0.5196371795015862,5.5389818602167615,839.6048510899601,0.06444618138547437,18.897260325626323,5062.797513048818,0.5357700789278028,10.313632176849861,136.83005833589192,1363.5924163340496,16.975852138982706,0.12615661140108483,0.024139000121320947,0.26449349234374764,0.0038207102561790864,2963.706903949332,0.3612975649019593,0.6019966705590032,10.48883655291378,6.503265329023295,64.91910240454922,0.8026209285878102,0.12779334236823908,3.102009260099966,4029.4711093056053,0.4527585900831929,0.620781275831936,2.2813119386683685,0.6408763209410473,6.792538546016857,0.08311508345061146,68.56776556776556,0.2511639764387017,1.491070589971689,12.047619047619047,180201.15750915752,1692049.142857143,19918.497696377694,0.17734330484330485,30.94871794871795,0.11336526721142105,0.3260784580673075,3.734291665146082,0.06941879203990024,5.832175554878837,0.02095486644151059,177923.80528384921,80.58128130282329,0.0007472097355127436,3.0376656649617626,0.01612254273019297,0.006509218050393456,0.39374859775308557,0.01275350250916199,1.9629140934539522,153.91176596733442,180.00277775634464,68.0,179.27911200137063,180.2803372528463,12927.25,60.602542027339,0.16414002870325023,16228.32579651698,1.2553579296847341,13028.0
100.nii.gz,65.0,157.0,413340202.0,2.538485682264657,47.0,2.7844035104420195,222.0,108.4020958177768,28.069804967668833,105.0,13.0,209.0,19.976672131928296,113.87866108001629,0.29431431032712024,413340202.0,0.1989724589054628,1217.335071690753,23.97742494336025,79.46130306353918,-0.1790828852783055,5.082573994158485,2.6752898868122594,0.29736704799795155,1.124127677800587,1.757489969570948,1.0594404217527593,0.6215600713644285,0.5802851796896482,0.9706369082323032,0.9000981709188143,-0.23081572870125572,0.6576431425175231,0.385296255978369,4.834803430966221,0.0697285809560204,4.418379898903024,0.5051284756456718,0.1282338476784073,9.66960686193244,3.0499013075352925,1.9394659702426862,5.490808558545529,5413.102406425502,0.16983347681189412,6.193961862901146,6341.849182693816,2.0310011162656276,25.589715433125217,62.03222162959244,1549.442192451291,3.5375008247767026,0.058649895566096094,0.027568591720826225,0.6936023776126441,0.001807090006036082,4708.188782823514,0.19595021033569926,2.084045124132176,25.602004667645215,11.854328842113317,302.96681131021984,0.6622045937599731,0.05974477525236864,3.668955139730311,20745.702965452794,0.7008372600714655,0.7510576832573508,4.712618956004041,0.7640990290565365,19.596730151350762,0.04568634746768457,47.26537216828479,0.15296236947664982,3.478765408824793,24.805825242718445,145582.70226537218,3263530.359223301,7397.862263382639,0.09308272505933933,15.58252427184466,0.05042888113865586,0.20988903843289725,4.427298359043465,0.022063023305094024,7.215110509425287,0.009694725943588616,134943.01343722834,52.907262792760235,0.0004449127710393725,12.579161238031812,0.021681250004657183,0.012812759602343054,0.401630972476763,0.020972702291538414,5.739843978234792,273.6816600191084,235.00212764994276,114.00438588054409,284.3132075722125,318.8134250623709,31580.458333333332,109.91903126252933,0.08627694051556274,56001.75976213847,1.7733042114537119,31873.0
101.nii.gz,67.0,125.0,265396794.0,1.9782388043284171,31.0,3.002009094603908,179.0,95.89698722407292,18.16131712062149,96.0,19.0,160.0,12.899220694660762,98.56695376898605,0.04917702896364116,265396794.0,0.29520768011954207,519.2122166434286,19.691252008647748,32.10392343938875,0.08522606541633752,3.2877413184705033,0.3523215923163422,0.806419295661627,0.3330661974690961,0.9329896570595823,0.2303325293753807,0.8366598546134429,0.8353924407501765,0.9946062640640947,0.9632061989117999,-0.403573000940123,0.8789595833425414,0.3163714742840615,4.354009251926756,0.16037284108875943,3.1572919312863448,0.8088902380714067,0.26961004691978296,8.708018503853515,2.7679059625051785,0.9100157276967115,4.791837026388592,4217.634183841564,0.15439595064763934,3.9063638102914924,8064.18819782553,0.9106052530413783,19.84203975546363,44.0394259984625,860.7340117875316,2.761021809624998,0.06292267350192753,0.04193464402358938,0.8591248497249241,0.0027259030283601693,6351.730791066569,0.28886028828323657,0.9486771353945126,19.962573315364466,8.645675571139229,170.32895274635408,0.5320530936301382,0.06308624138610115,2.866658996496828,19553.48958987522,0.7564202752449467,0.7948051509203905,3.4857728377048782,0.8149824473346883,16.281555107310382,0.05136247474787254,117.95862068965518,0.2033769322235434,1.8590338882282995,21.78448275862069,56364.21896551724,1059725.446551724,3262.789987716494,0.07307343468996794,33.41379310344828,0.05760998810939358,0.20709342317150523,4.249922945955447,0.017159996915982915,7.099239699154365,0.021232199729106418,54145.9713763377,48.128261527726444,0.00048620713040912724,7.722221451945237,0.008905434051996695,0.013224799118684844,0.6268901197473188,0.029126818361171425,6.435559058821447,220.94960661410946,215.05813167606567,139.0898989862312,235.8495283014151,235.8495283014151,27075.333333333332,138.51112534844205,0.07910214303472074,55124.553271581266,2.035969514868931,27317.0
102.nii.gz,85.0,141.0,191816947.0,1.9286526280857033,30.0,2.9932917029042643,199.0,112.60743943449317,17.569913588522393,112.0,32.0,167.0,12.465105096963718,114.73576300616662,0.10379259200526705,191816947.0,0.3051750826032274,483.8598966141858,16.86826428682202,25.24825319169507,0.4342851865321953,2.9195762490524846,0.45267213138629264,0.7315884001079201,0.40782064017936115,1.0609719962786506,0.27829217592766725,0.8032772688719609,0.8005698446901501,0.9910614219403342,0.9496356403184883,-0.30287682984688236,0.816243068518868,0.37125730965899084,4.031318790715511,0.14792685282226525,3.262180024474447,0.7331171179812691,0.2803052764937492,8.06263758143102,2.752986872795029,0.8430620951096943,4.84374085755435,1996.3312744492484,0.13700715630013371,4.002453375186807,4446.706128611626,0.8505109843394671,17.028893006657057,37.751767208839475,628.3917370118729,2.7540832744691683,0.07535751362746275,0.05762226188042429,1.0070061799613914,0.004969891226270269,3572.9252684820904,0.2962189121805023,0.9043319135826151,17.151676877113168,4.590759421050217,76.62411988326195,0.3352791081096481,0.07632803372386755,2.7110284477699604,10585.52850156478,0.7742993190739837,0.8150224629532844,1.7194970616442011,0.8459683616213993,14.518676614199839,0.06473931395542695,116.2318339100346,0.201093138252655,2.0,18.0,36370.351211072666,537876.6920415225,2661.9085976155175,0.10599418198652011,72.98961937716263,0.12627961829958934,0.32732607729578034,5.443863498711701,0.03813121770995878,6.056514123195936,0.03966783336764807,35734.84025873733,41.89585837952705,0.0007310525513214073,7.018537900710363,0.013661956202233585,0.013817140728410848,0.5200470674449801,0.08653508845815085,18.38167033799929,212.4186924115624,152.73833834371774,146.0,191.12561314486345,222.2386105068154,14391.583333333334,110.46771805913028,0.0969587296026809,29510.0260225915,2.050505864371525,14571.0
103.nii.gz,84.0,144.0,93544815.0,1.9842752749982202,31.0,3.298261121109323,199.0,112.67124257005378,18.446311110263675,111.0,43.0,156.0,13.070137590268805,115.05964869085885,0.48710937925029607,93544815.0,0.29684418209163554,543.9138545839563,16.98305044497685,37.56927035263719,3.0890544012664733,3.3562809033957715,0.40982990151465276,0.782293801601841,0.38180867339753655,1.0152786649770844,0.2577684319498546,0.8136843864321224,0.8118977861129435,0.9918705105441701,0.9526603834973137,-0.34837325817711,0.8563451897134607,0.358059646817294,4.030686425537191,0.14894503255374197,3.26268014275565,0.793987109656277,0.2788213875231767,8.06137285107438,2.8077034612633485,0.9415277012276062,4.897567542183892,973.7585621285027,0.13780902379401397,4.074214500473438,2097.500990659496,0.9503973453482026,17.174214548542317,39.54967449759411,659.9106991225588,2.9335151227204728,0.07468103299438467,0.056718213773857495,1.0220103044873956,0.004676653065160454,730.38065197355,0.27102020177674246,1.084345820631785,17.690384405139273,14.738363820097716,239.14714608688124,1.11140704816451,0.07607980894534007,4.570476760388143,719.8495754884522,0.255635524710797,0.380484007925276,6.66662915442495,0.48468998614329895,8.721921650611495,0.038051032884558536,55.72597864768683,0.1983130912729069,1.9745950532541383,19.07473309608541,29808.362989323843,469802.1245551601,1983.555196092672,0.09283335754230518,43.43416370106762,0.1545699775838705,0.38208338612132675,7.227498784538361,0.03770362395938179,5.66131909799824,0.039767902632323805,29176.04632666759,20.689838841167585,0.001567095706675804,6.735245414569642,0.014771954094689862,0.030054576880837763,0.4593324529645901,0.0,0.0,149.69686859283908,137.0,67.0,142.1724305201258,142.1724305201258,6979.916666666667,68.76062985186668,0.12345879950167483,14306.351786322111,2.0496450702117426,7066.0
104.nii.gz,56.0,139.0,67850299.0,2.376061485840692,46.0,2.405443013937504,200.0,98.727545382794,25.52653729017018,99.0,19.0,181.0,18.91174315290891,103.49099759147312,-0.021950620829292507,67850299.0,0.2133163810379315,963.2583651666461,21.388568881886798,88.57633124543432,-1.0870138815871966,6.10756500577087,0.4390208310472051,0.8658618948136391,0.39823698372409405,1.0509040806482175,0.2745762211045399,0.8073923775554135,0.804935048840234,0.9946875428422167,0.9605414065766397,-0.43077307598799686,0.9299480072534642,0.3650835072756088,4.468939698394912,0.09886132996782826,3.7352981572058517,0.8792106035992275,0.16507124389900735,8.937879396789825,3.246881017271924,1.636646459204519,5.2937522777094905,855.6591949486977,0.1350685390605679,4.1143194527589735,1351.359273875296,1.624722925280121,21.5344909234412,37.98910812943962,770.4374112075769,2.833031711380802,0.06936338877683261,0.05950705507143664,1.3855649579426028,0.00417803657532141,1104.64586810345,0.2148352568115959,1.6191767229965537,21.91239658714816,4.491172349279873,91.82660132300511,0.335005169843862,0.06797578077391375,3.1140533464051865,4600.795363987758,0.7744873829996919,0.8146074919555583,1.6126239855669602,0.8462784513353564,18.542911275160705,0.05769536388490575,44.79389312977099,0.17096905774721752,2.570887477419731,24.610687022900763,10080.68320610687,199382.56106870229,702.5373061803884,0.07661381852005715,38.06106870229008,0.14527125458889342,0.37304104220639756,9.100968161326952,0.032732403539366434,5.943863018262728,0.041357537490134176,9496.040338558358,9.805722699845514,0.002285160056152687,11.546446047999225,0.014913334261899003,0.07378285298472696,0.6010858135950914,0.03700337330731585,3.9194212346810016,105.9206468050874,96.04686356149273,75.05997601918082,109.77249200050075,112.09817126073021,6221.333333333333,63.667398161354285,0.1266638210552378,12914.78517965476,2.0758870305917427,6335.0
105.nii.gz,91.0,140.0,140414549.0,1.7437135429213724,26.0,3.086950229598598,211.0,115.11023851076207,15.174956059769768,115.0,52.0,159.0,10.750679961342097,116.67894433859178,0.11872299123240206,140414549.0,0.3508201029462731,363.60904196366715,10.214875317616741,14.802124543474257,0.3112692690062941,2.1747078275760505,0.4448587930613021,0.6603881247672116,0.4042975022405652,1.0497777705207325,0.2727980384011156,0.8044858388078985,0.8019038622612584,0.9912005769349521,0.950021885418452,-0.2555185189266912,0.7474093515504379,0.3699681031338301,3.127684504966418,0.1763104018248196,3.0337681199143134,0.6640003838997702,0.334955215248669,6.255369009932837,2.5340786593733484,0.6548916551593382,4.643793254724003,1406.4667442311422,0.1363648191032715,4.084033671585589,3618.358541787861,0.6589942303807055,10.412352142718635,37.99088617413225,382.6962381229397,4.866069049201997,0.1346168478702967,0.05987667817577695,0.6760198460241832,0.009660710863813003,2889.3204770827006,0.3365161384066319,0.7137641473855584,10.527589928552825,4.846551676131261,48.761026471943524,0.6234599737621838,0.13721905836255535,2.5355774166084326,7497.5094797426345,0.7750238966091202,0.8145015736638773,1.7972150854114424,0.845034952376994,8.903972346681165,0.11634128264760824,112.86694386694387,0.23465061094998724,1.7223559718362214,12.187110187110187,23478.515592515592,222517.51975051974,2625.1066206669775,0.192678989821847,66.98752598752598,0.13926720579527233,0.34304490317798764,4.327418560351717,0.07228680220853913,5.661856424893591,0.046635640876478576,23018.72074377272,40.01102308938794,0.0009063830395722012,7.917262734478414,0.010845066366130524,0.021319428943475122,0.5160947159430461,0.047818870622765824,6.897037510373284,144.23254712104622,126.09916732476864,88.14193099768123,108.67382389517726,150.16657417681208,10183.583333333334,74.43765543617836,0.10873253025070426,20895.769929655384,2.0519073930743486,10314.0
106.nii.gz,70.0,120.0,241309606.0,1.8220068011994086,26.0,4.282740139606169,211.0,95.20757682936414,15.823093374877557,95.0,25.0,186.0,10.886835357344676,97.38174306681955,0.4446714719913796,241309606.0,0.3346582621923648,418.7211970127839,11.689419009852331,29.46176356541654,1.8423295474444679,2.673539569834588,0.3315604536929648,0.7793503298266603,0.31775952413305014,0.9126820404590857,0.2221766020580085,0.8433850168219813,0.8425003308894663,0.9949187988794191,0.9648458722682908,-0.37950609914331324,0.8519049947754912,0.30601781779505816,3.3322539974161742,0.1892665018203077,2.9479035217731746,0.7908713243930858,0.3245540944380826,6.66450799483235,2.5907804704310338,0.7512750058818881,4.619122851659076,3853.775367444785,0.15144916165388608,3.756361056209089,8515.714139746915,0.7536882254795929,11.816906390002359,44.237679792501766,507.70553328617467,5.001423652325951,0.11620580894662352,0.0407626939369895,0.5200097348339635,0.005195144051677358,6665.574005455785,0.323383856592469,0.8153189945028405,11.961478903740234,7.252356017192383,84.25370444688201,0.7978516088278149,0.11785887519511963,2.7254578377618826,18182.47896493278,0.7547375168794267,0.7937502645118774,2.6647235505008546,0.8114287429063778,9.7232875368085,0.09541400615198638,116.83184257602862,0.20900150729164332,1.9376346081841773,13.95706618962433,50141.431127012525,507726.5813953488,5272.577360079243,0.1669087144398606,31.332737030411447,0.05605140792560188,0.20079207654029083,2.951742193491249,0.037837507986786804,7.0495152504954905,0.02196808928711782,48069.30861076353,62.4502625210987,0.00046986705989603036,8.462710322891617,0.007281792336043007,0.017157272210559186,0.30335216088533173,0.03019053474498373,8.250301798932114,273.27445070521424,181.1767093199344,108.29589096544707,255.8124312851117,301.725040392739,25034.916666666668,82.8983951361788,0.07992599093274255,51779.77931498718,2.0683024435200372,25446.0
107.nii.gz,121.0,179.0,65036881.0,2.015976290877011,31.0,3.212190361277483,228.0,150.49964336661913,18.459700936709527,151.0,56.0,172.0,12.884255334018185,152.29682450139825,0.05653396287999045,65036881.0,0.291041074397488,544.1800997301593,21.230586957447585,31.309075874951144,0.3054242714213073,3.163006735296374,0.5564760335266555,0.7000865527662185,0.48551014571772544,1.1442210461936568,0.3103660326038275,0.7688048797485698,0.7643278941089668,0.9915434018701765,0.9468361756387192,-0.2611123246933007,0.7871668580911675,0.4258474100592211,4.536400888811369,0.12842997339833834,3.4609558636227074,0.703163940653122,0.2257167297747537,9.07280177762274,2.8371141756697225,0.9298706922057575,4.85188717933473,404.0970042796006,0.14411448084151232,3.53866699497966,816.0791726105564,0.9633958569477881,21.538873038516407,30.16191155492154,636.5388730385164,1.678872387518964,0.058295835274195275,0.07335633552372182,1.6757584913159007,0.00478881276470803,352.33696677776476,0.26125581759871475,1.1592777444931637,21.920329546647046,7.951691721570908,168.5077555023542,0.44543889489159383,0.06057409406124307,4.188795070362646,456.55122031385054,0.3249109816078465,0.48002853067047074,2.932971667349838,0.557797549599204,12.456999482752831,0.03512927016363181,34.120879120879124,0.18747735780702815,2.1966248037676603,23.752747252747252,2793.3406593406594,63673.11538461538,130.6135113440981,0.07238435529889611,19.791208791208792,0.10874290544620215,0.29476351561437375,7.382001527730692,0.02177545992340872,5.923086417878599,0.06490727532097004,2555.977538944572,6.1810674888167325,0.0036280436647907616,10.48802523680514,0.013010619701721642,0.09378004440419599,0.1420716616554591,0.0035171772515339744,0.7890681789809306,224.3470040177213,189.0026454841307,36.0,201.63581031156147,202.63514009174224,2708.5833333333335,31.873351648221625,0.16213831700988504,5795.531423760275,2.1396910157561857,2804.0
